id_pohon,gps_long,gps_lat,status_kesehatan
pohon_1,112.79611920276965,-7.28523079034183,1
pohon_2,112.79649653467594,-7.285227483782789,1
pohon_3,112.79691344038224,-7.284475666524583,1
pohon_4,112.79653951737505,-7.2851072962800485,1
pohon_5,112.79712403317352,-7.284040419046115,1
pohon_6,112.79552606029192,-7.284245435683079,1
pohon_7,112.79680769625287,-7.284183164204012,1
pohon_8,112.7961212066514,-7.28510873137771,1
pohon_9,112.79622440191207,-7.2836812289525525,1
pohon_10,112.7970097626378,-7.284732721026846,1
pohon_11,112.79579721638993,-7.285831022823553,1
pohon_12,112.79621025570843,-7.284733183971358,1
pohon_13,112.79711489393002,-7.2845304672993505,1
pohon_14,112.79680756840642,-7.284151069827679,1
pohon_15,112.79710386601204,-7.284603289634286,1
pohon_16,112.79679899609268,-7.285522143046078,1
pohon_17,112.795781467261,-7.284490784229263,1
pohon_18,112.79690094992135,-7.283669953766458,1
pohon_19,112.79556303126985,-7.283695381167441,1
pohon_20,112.7972045546664,-7.284763138004674,1
pohon_21,112.79711717513578,-7.284137182964765,1
pohon_22,112.79658864909385,-7.28562152341409,1
pohon_23,112.79711787751766,-7.284313475987306,1
pohon_24,112.7969049617896,-7.28399518104743,1
pohon_25,112.7969768277518,-7.284477222909882,1
pohon_26,112.79608121781928,-7.284104907563259,1
pohon_27,112.79636857133298,-7.2836187269933115,1
pohon_28,112.79589100045318,-7.2848822688289605,1
pohon_29,112.79710738442937,-7.284690971522278,1
